Currents,Voltages
1e-12,2.04324581691e-09
1.29154966501e-12,2.63895345037e-09
1.6681005372e-12,3.40833944482e-09
2.15443469003e-12,4.40203966821e-09
2.78255940221e-12,5.68545285887e-09
3.5938136638e-12,7.34304473533e-09
4.64158883361e-12,9.4839069681e-09
5.99484250319e-12,1.22489368677e-08
7.74263682681e-12,1.58201103082e-08
1e-11,2.04324581691e-08
1.29154966501e-11,2.63895345037e-08
1.6681005372e-11,3.40833944482e-08
2.15443469003e-11,4.40203966821e-08
2.78255940221e-11,5.68545285887e-08
3.5938136638e-11,7.34304473533e-08
4.64158883361e-11,9.4839069681e-08
5.99484250319e-11,1.22489368677e-07
7.74263682681e-11,1.58201103082e-07
1e-10,2.04324581691e-07
1.29154966501e-10,2.63895345037e-07
1.6681005372e-10,3.40833944482e-07
2.15443469003e-10,4.40203966821e-07
2.78255940221e-10,5.68545285887e-07
3.5938136638e-10,7.34304473533e-07
4.64158883361e-10,9.4839069681e-07
5.99484250319e-10,1.22489368677e-06
7.74263682681e-10,1.58201103082e-06
1e-09,2.04324581691e-06
1.29154966501e-09,2.63895345037e-06
1.6681005372e-09,3.40833944482e-06
2.15443469003e-09,4.40203966821e-06
2.78255940221e-09,5.68545285887e-06
3.5938136638e-09,7.34304473533e-06
4.64158883361e-09,9.4839069681e-06
5.99484250319e-09,1.22489368677e-05
7.74263682681e-09,1.58201103082e-05
1e-08,2.04324581691e-05
1.29154966501e-08,2.63895345037e-05
1.6681005372e-08,3.40833944482e-05
2.15443469003e-08,4.40203966821e-05
2.78255940221e-08,5.68545285887e-05
3.5938136638e-08,7.34304473533e-05
4.64158883361e-08,9.4839069681e-05
5.99484250319e-08,0.000122489368677
7.74263682681e-08,0.000158201103082
1e-07,0.000204324581691
1.29154966501e-07,0.000263895345037
1.6681005372e-07,0.000340833944482
2.15443469003e-07,0.000440203966821
2.78255940221e-07,0.000568545285886
3.5938136638e-07,0.000734304473533
4.64158883361e-07,0.00094839069681
5.99484250319e-07,0.00122489368677
7.74263682681e-07,0.00158201103082
1e-06,0.00204324581691
1.29154966501e-06,0.00263895345037
1.6681005372e-06,0.00340833944482
2.15443469003e-06,0.00440203966821
2.78255940221e-06,0.00568545285886
